감기_lag1,이산화질소농도(ppm),오존농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm),미세먼지농도(㎍/㎥),초미세먼지농도(㎍/㎥)
5268.0,0.0279,0.0497,0.48,0.0038,51.0,32.0
3087.0,0.0316,0.0458,0.53,0.0039,58.0,30.0
3251.0,0.0192,0.0536,0.51,0.0032,47.0,27.0
5996.0,0.0206,0.0521,0.47,0.0037,47.0,27.0
5413.0,0.0289,0.0439,0.53,0.004,49.0,33.0
3751.0,0.0243,0.05,0.41,0.0034,52.0,29.0
4667.0,0.0185,0.0457,0.39,0.0044,51.0,28.0
5427.0,0.032,0.046,0.48,0.006,46.0,33.0
6781.0,0.0289,0.0402,0.52,0.0048,52.0,37.0
5308.0,0.033,0.0356,0.53,0.0049,68.0,37.0
2816.0,0.0245,0.0392,0.37,0.0046,54.0,26.0
4910.0,0.0263,0.0432,0.47,0.0044,45.0,30.0
4356.0,0.0323,0.0452,0.45,0.0054,46.0,24.0
5389.0,0.027,0.051,0.46,0.0041,47.0,29.0
4989.0,0.031,0.049,0.52,0.0048,52.0,29.0
6762.0,0.0351,0.0321,0.48,0.004,57.0,36.0
8894.0,0.0339,0.0508,0.5,0.0052,51.0,29.0
6194.0,0.0444,0.0323,0.58,0.0042,61.0,35.0
969.0,0.0301,0.0371,0.47,0.0034,51.0,30.0
1061.0,0.0143,0.0564,0.42,0.0033,39.0,21.0
1721.0,0.0154,0.0526,0.4,0.0032,37.0,27.0
2838.0,0.0163,0.0557,0.42,0.0037,41.0,25.0
3078.0,0.0156,0.0554,0.34,0.003,38.0,22.0
2767.0,0.0176,0.0474,0.3,0.0029,37.0,23.0
3166.0,0.0138,0.056,0.4,0.0035,39.0,24.0
3871.0,0.0151,0.0533,0.35,0.0026,37.0,23.0
2325.0,0.0169,0.051,0.39,0.0024,38.0,21.0
2422.0,0.0096,0.0586,0.38,0.0024,34.0,20.0
4563.0,0.0106,0.0562,0.43,0.003,34.0,20.0
4251.0,0.0147,0.0531,0.38,0.0029,34.0,22.0
2781.0,0.0123,0.0519,0.36,0.002,39.0,23.0
3351.0,0.0078,0.0545,0.3,0.0029,36.0,21.0
4218.0,0.018,0.0499,0.4,0.0036,39.0,29.0
5172.0,0.0143,0.0513,0.4,0.0036,40.0,26.0
4059.0,0.0154,0.055,0.41,0.0041,46.0,25.0
2053.0,0.0112,0.0452,0.31,0.0036,41.0,23.0
3823.0,0.0141,0.0492,0.39,0.004,36.0,23.0
3411.0,0.0176,0.0488,0.38,0.0036,39.0,23.0
3680.0,0.014,0.0586,0.35,0.0033,37.0,24.0
3956.0,0.0171,0.0547,0.43,0.0037,45.0,26.0
4947.0,0.0179,0.0453,0.37,0.0035,55.0,35.0
6581.0,0.0183,0.0555,0.37,0.0037,40.0,23.0
4703.0,0.0186,0.0536,0.41,0.003,42.0,23.0
141.0,0.0156,0.043,0.35,0.0026,38.0,23.0
131.0,0.0114,0.0536,0.35,0.0032,20.0,10.0
276.0,0.014,0.0486,0.33,0.0029,18.0,12.0
359.0,0.0137,0.052,0.37,0.0034,24.0,15.0
410.0,0.0139,0.0506,0.3,0.0027,23.0,12.0
651.0,0.0148,0.0453,0.36968151147098516,0.0029,22.0,13.0
406.0,0.0114,0.0525,0.35,0.0033,23.0,13.0
497.0,0.0123,0.0512,0.29,0.0027,22.0,14.0
312.0,0.0149,0.0481,0.33,0.0026,22.0,11.0
312.0,0.008,0.0549,0.35,0.0023,21.0,11.0
820.0,0.0089,0.0517,0.36,0.003,19.0,11.0
650.0,0.0116,0.0514,0.34,0.0029,23.0,14.0
472.0,0.0086,0.0391,0.26,0.0017,12.0,5.0
621.0,0.0066,0.0519,0.26,0.0031,18.0,8.0
922.0,0.0158,0.0456,0.36,0.0036,24.0,16.0
1108.0,0.0139,0.0459,0.37,0.0038,25.0,16.0
526.0,0.0155,0.0485,0.37,0.0041,29.0,15.0
220.0,0.011,0.0397,0.29,0.0038,22.0,12.0
593.0,0.0123,0.0437,0.35,0.0036,23.0,14.0
440.0,0.0152,0.0453,0.35,0.0032,25.0,12.0
450.0,0.0123,0.0511,0.3,0.0029,21.0,13.0
899.0,0.021,0.0376,0.44,0.0029,29.0,17.0
1066.0,0.0125,0.0446,0.29,0.0032,23.0,11.0
1220.0,0.0153,0.0511,0.33,0.0035,23.0,12.0
712.0,0.015,0.0503,0.36,0.0027,26.0,13.0
1756.0,0.0112,0.0385,0.29,0.0026,21.0,13.0
1894.0,0.0186,0.0591,0.43,0.0032,34.0,17.0
3020.0,0.0214,0.0538,0.4,0.0031,31.0,21.0
4582.0,0.0217,0.0555,0.43,0.0033,39.0,25.0
4990.0,0.0208,0.0551,0.35,0.003,35.0,20.0
4621.0,0.0201,0.0478,0.36968151147098516,0.0027,35.0,20.0
5479.0,0.0181,0.0572,0.4,0.0034,36.0,21.0
6514.0,0.0179,0.0559,0.35,0.0025,34.0,21.0
3859.0,0.0206,0.0536,0.39,0.0026,39.0,20.0
4191.0,0.0133,0.0641,0.4,0.0024,36.0,20.0
7589.0,0.0138,0.0594,0.47,0.0031,33.0,18.0
6795.0,0.0178,0.0565,0.41,0.0029,35.0,22.0
4540.0,0.0153,0.0605,0.39,0.0021,36.0,19.0
5610.0,0.01,0.06,0.3,0.0027,33.0,16.0
6733.0,0.0186,0.0588,0.43,0.0036,34.0,22.0
8604.0,0.0212,0.054,0.44,0.0032,35.0,21.0
6600.0,0.0207,0.0598,0.49,0.0034,41.0,21.0
3481.0,0.0165,0.0474,0.34,0.0032,39.0,18.0
6215.0,0.0169,0.0537,0.43,0.0035,34.0,20.0
5608.0,0.0241,0.0517,0.41,0.003,35.0,18.0
6660.0,0.019,0.0588,0.36,0.003,35.0,19.0
6208.0,0.0233,0.0563,0.47,0.0033,39.0,21.0
8009.0,0.0249,0.0395,0.35,0.0029,42.0,17.0
10900.0,0.0233,0.0545,0.38,0.0032,35.0,20.0
7660.0,0.0421,0.0349,0.44,0.0032,41.0,23.0
1207.0,0.0184,0.0452,0.35,0.0026,34.0,21.0
1313.0,0.02,0.0768,0.51,0.0036,54.0,27.0
2062.0,0.0254,0.069,0.48,0.0035,50.0,33.0
3074.0,0.0208,0.0755,0.49,0.0037,59.0,37.0
3261.0,0.0214,0.0728,0.43,0.0033,53.0,29.0
3256.0,0.0221,0.0613,0.36968151147098516,0.0027,55.0,30.0
3709.0,0.0189,0.0748,0.49,0.0038,58.0,33.0
4448.0,0.0199,0.0706,0.45,0.0029,53.0,33.0
2660.0,0.0216,0.0699,0.48,0.0028,62.0,31.0
2741.0,0.0144,0.0834,0.48,0.0028,58.0,32.0
5189.0,0.0143,0.0775,0.65,0.0034,56.0,30.0
4603.0,0.0193,0.0753,0.48,0.0033,55.0,35.0
3240.0,0.0161,0.0806,0.54,0.0023,60.0,32.0
